,agic_sortid,taxable_year,agic,county,all_returns,all_joint_returns,all_taxable_returns,dependents_on_returns,adjusted_gross_income,tax_assessed
5949,1,2006,Zero and Deficit,Placer,2358,991,76,1180,-118290000,72000
5950,12,2009,"30,000 to 34,999",Placer,7621,2844,5389,4369,247420000,2374000
5951,5,2013,"9,000 to 11,999",Placer,6140,790,1087,1601,64497000,98000
5952,23,2014,"300,000 to 399,999",Placer,2039,1811,2029,2485,699171000,46859000
5953,12,2015,"30,000 to 34,999",Placer,7587,2235,4377,3698,246286000,1877000
5954,19,2011,"90,000 to 99,999",Placer,5890,4522,5788,5702,558702000,15245000
5955,17,2009,"70,000 to 79,999",Placer,7443,5067,7293,6150,557305000,14045000
5956,10,2007,"24,000 to 26,999",Placer,5046,1351,2856,2369,128505000,865000
5957,5,2011,"9,000 to 11,999",Placer,6262,947,964,1976,65770000,88000
5958,21,2007,"150,000 to 199,999",Placer,7023,6326,6995,7987,1201312000,56903000
5959,18,2015,"80,000 to 89,999",Placer,7142,4606,7005,5241,606108000,15793000
5960,11,2005,"27,000 to 29,999",Placer,4807,1512,2776,2300,136999000,1176000
5961,23,2012,"300,000 to 399,999",Placer,1499,1362,1491,1798,513346000,34641000
5962,7,2003,"15,000 to 17,999",Placer,5634,1223,3050,2087,92979000,302000
5963,4,2007,"6,000 to 8,999",Placer,6027,608,1702,1209,45193000,85000
5964,21,2009,"150,000 to 199,999",Placer,6909,6328,6889,8309,1181291000,59184000
5965,11,2004,"27,000 to 29,999",Placer,4712,1605,2770,2319,134336000,1191000
5966,5,2008,"9,000 to 11,999",Placer,5785,766,961,1490,60640000,73000
5967,26,2003,"1,000,000 and over",Placer,235,204,235,239,689748000,57459000
5968,15,2007,"50,000 to 59,999",Placer,10185,5333,8414,6718,558728000,9147000
5969,15,2004,"50,000 to 59,999",Placer,9769,5712,8653,7471,536274000,9835000
5970,26,2014,"1,000,000 and over",Placer,446,374,446,456,1195777000,128529000
5971,17,2004,"70,000 to 79,999",Placer,7138,5374,6905,6803,534470000,12760000
5972,3,2014,"3,000 to 5,999",Placer,5434,483,1469,655,24664000,39000
5973,8,2009,"18,000 to 20,999",Placer,5609,1464,2872,2597,109218000,411000
5974,25,2016,"500,000 to 999,999",Placer,1564,1355,1559,1745,1059510000,87782000
5975,24,2006,"400,000 to 499,999",Placer,650,570,648,749,290461000,21230000
5976,6,2010,"12,000 to 14,999",Placer,6096,1109,2206,2610,82148000,157000
5977,14,2012,"40,000 to 49,999",Placer,11816,5273,8361,7080,529715000,6465000
5978,21,2010,"150,000 to 199,999",Placer,7098,6458,7085,8610,1214656000,62044000
5979,21,2016,"150,000 to 199,999",Placer,11779,10334,11760,13048,2024537000,97697000
5980,21,2008,"150,000 to 199,999",Placer,7174,6549,7140,8502,1225477000,56146000
5981,5,2003,"9,000 to 11,999",Placer,5737,803,1744,1609,60328000,103000
5982,24,2009,"400,000 to 499,999",Placer,460,426,458,582,204230000,15087000
5983,25,2009,"500,000 to 999,999",Placer,739,607,734,950,491879000,38845000
5984,9,2009,"21,000 to 23,999",Placer,5220,1489,2816,2574,117488000,625000
5985,8,2007,"18,000 to 20,999",Placer,5561,1224,2956,2322,108434000,378000
5986,19,2014,"90,000 to 99,999",Placer,6310,4536,6238,5328,598359000,17159000
5987,10,2008,"24,000 to 26,999",Placer,4954,1427,2612,2410,126187000,709000
5988,20,2006,"100,000 to 149,999",Placer,16770,14602,16606,18305,2030564000,72589000
5989,25,2010,"500,000 to 999,999",Placer,822,676,815,1026,549515000,43590000
5990,5,2016,"9,000 to 11,999",Placer,5812,678,1332,1209,60897000,112000
5991,3,2013,"3,000 to 5,999",Placer,5376,512,1399,676,24339000,40000
5992,24,2003,"400,000 to 499,999",Placer,357,311,355,418,159510000,11906000
5993,19,2015,"90,000 to 99,999",Placer,6378,4492,6303,5313,605443000,17342000
5994,7,2005,"15,000 to 17,999",Placer,5791,1157,3076,2117,95623000,278000
5995,6,2007,"12,000 to 14,999",Placer,5791,860,2094,1876,78092000,146000
5996,6,2012,"12,000 to 14,999",Placer,6010,994,1569,2188,81019000,119000
5997,24,2016,"400,000 to 499,999",Placer,1102,971,1100,1266,489680000,36246000
5998,19,2013,"90,000 to 99,999",Placer,6198,4588,6121,5706,588642000,16867000
5999,10,2011,"24,000 to 26,999",Placer,4888,1449,2497,2656,124657000,653000
6000,4,2011,"6,000 to 8,999",Placer,5899,702,1412,1275,44405000,72000
6001,21,2012,"150,000 to 199,999",Placer,8456,7607,8432,9769,1446255000,69965000
6002,19,2016,"90,000 to 99,999",Placer,6555,4480,6484,5157,622002000,17696000
6003,12,2007,"30,000 to 34,999",Placer,7811,2585,4711,4076,253638000,2419000
6004,9,2011,"21,000 to 23,999",Placer,5292,1445,2618,2783,118927000,458000
6005,6,2014,"12,000 to 14,999",Placer,6093,900,1490,1960,82130000,120000
6006,5,2014,"9,000 to 11,999",Placer,6282,757,1151,1644,65872000,108000
6007,6,2009,"12,000 to 14,999",Placer,6049,1187,2233,2305,81535000,152000
